food_id,food_name_bn,food_name_en,aliases,category,serving_size_g,calories,protein,carbs,fat,sugar,sodium,fiber,is_common
19,,rice flour,rice flour|rice-flour|riceflour,grain,250.0,279.8,4.6,40.3,26.5,5.0,477.3,7.3,1.0
20,,chira,chira,grain,80.0,398.7,22.9,42.0,20.1,12.0,606.2,4.5,1.0
21,রুটি,roti,chapati|roti|ruti|রুটি,bread,150.0,199.3,8.2,5.7,1.1,16.6,531.7,0.1,1.0
22,,chapati,chapati,bread,200.0,238.8,7.6,54.5,24.1,2.1,218.0,8.0,1.0
23,পরোটা,paratha,paratha|porota|পরোটা,bread,80.0,218.6,22.0,53.2,16.3,7.3,428.3,4.9,1.0
24,,lachha paratha,lachha paratha|lachha-paratha|lachhaparatha,bread,50.0,121.3,13.5,26.6,13.3,21.9,607.7,11.8,1.0
25,,naan,naan,bread,50.0,113.3,22.1,48.4,3.5,5.7,485.0,1.7,1.0
26,,luchi,luchi,bread,80.0,161.3,8.2,55.5,12.7,25.8,497.5,0.6,1.0
27,,porota,porota,bread,150.0,283.9,29.1,55.7,23.8,5.0,439.6,2.6,1.0
28,,bakarkhani,bakarkhani,bread,120.0,298.5,5.8,2.1,11.2,27.8,707.7,3.4,1.0
29,,garlic naan,garlic naan|garlic-naan|garlicnaan,bread,200.0,310.6,29.9,34.2,20.3,4.6,270.6,11.6,1.0
30,,tandoori roti,tandoori roti|tandoori-roti|tandooriroti,bread,150.0,261.9,2.8,20.2,1.9,14.3,827.9,6.4,1.0
31,,bun,bun,bread,50.0,311.4,3.3,12.8,16.9,20.3,215.5,1.4,1.0
32,,burger bun,burger bun|burger-bun|burgerbun,bread,150.0,154.2,18.2,37.9,12.0,17.5,472.9,11.2,1.0
33,,toast bread,toast bread|toast-bread|toastbread,bread,80.0,247.3,10.1,17.4,4.1,19.4,414.2,11.1,1.0
34,,milk bread,milk bread|milk-bread|milkbread,bread,50.0,102.0,19.0,34.7,3.2,16.1,457.8,1.6,1.0
35,,whole wheat bread,whole wheat bread|whole-wheat-bread|wholewheatbread,bread,100.0,293.8,26.5,23.4,4.8,25.0,634.7,7.3,1.0
36,,pita bread,pita bread|pita-bread|pitabread,bread,250.0,243.9,1.2,49.4,8.7,19.9,845.3,1.6,1.0
37,,rumali roti,rumali roti|rumali-roti|rumaliroti,bread,50.0,295.7,22.5,11.0,8.2,6.3,311.9,8.2,1.0
38,,kulcha,kulcha,bread,250.0,158.1,15.2,54.5,23.8,2.8,384.1,3.3,1.0
39,,sheermal,sheermal,bread,50.0,173.4,4.8,58.8,4.9,13.3,636.6,6.7,1.0
40,,stuffed paratha,stuffed paratha|stuffed-paratha|stuffedparatha,bread,50.0,116.6,26.6,54.4,15.5,25.0,526.3,1.8,1.0
41,ডাল,dal,dal|dhal|lentil|ডাল,lentil,80.0,106.7,11.6,56.1,27.2,1.2,325.2,8.2,1.0
42,,masoor dal,masoor dal|masoor-dal|masoordal,lentil,200.0,116.4,23.6,53.3,11.7,18.6,143.3,11.2,1.0
43,,mug dal,mug dal|mug-dal|mugdal,lentil,250.0,126.0,24.2,12.3,11.8,5.4,832.4,9.4,1.0
44,,boot dal,boot dal|boot-dal|bootdal,lentil,120.0,228.4,26.1,49.0,7.8,23.6,101.7,10.5,1.0
45,,mixed dal,mixed dal|mixed-dal|mixeddal,lentil,250.0,175.3,6.8,55.3,10.1,24.6,784.8,2.7,1.0
46,,dal fry,dal fry|dal-fry|dalfry,lentil,200.0,130.9,10.5,52.1,27.1,8.4,579.1,4.8,1.0
47,,haleem,haleem,lentil,250.0,185.8,28.2,8.7,27.2,5.4,866.5,3.2,1.0
48,,cholar dal,cholar dal|cholar-dal|cholardal,lentil,50.0,195.5,11.0,47.6,12.5,29.5,108.5,10.8,1.0
49,,dal soup,dal soup|dal-soup|dalsoup,lentil,80.0,140.8,21.6,2.1,26.0,16.2,648.9,8.9,1.0
50,,lentil stew,lentil stew|lentil-stew|lentilstew,lentil,200.0,131.5,13.5,57.0,25.8,18.7,598.7,1.5,1.0
51,,black dal,black dal|black-dal|blackdal,lentil,100.0,181.1,20.3,20.9,19.7,16.6,176.7,8.0,1.0
52,,yellow dal,yellow dal|yellow-dal|yellowdal,lentil,120.0,208.4,27.2,37.7,8.8,16.4,5.4,3.4,1.0
53,,green gram curry,green gram curry|green-gram-curry|greengramcurry,lentil,120.0,225.7,18.6,20.7,12.6,20.3,462.5,9.5,1.0
54,,pea soup,pea soup|pea-soup|peasoup,lentil,250.0,217.8,20.1,18.5,18.8,18.6,88.6,11.4,1.0
55,,soybean curry,soybean curry|soybean-curry|soybeancurry,lentil,80.0,207.6,7.5,13.5,1.2,7.3,430.2,10.2,1.0
56,ইলিশ মাছ,hilsha fish,hilsha|hilsha fish|hilsha-fish|hilshafish|ilish|ইলিশ|ইলিশ মাছ,fish,50.0,235.6,26.7,35.4,20.3,11.5,362.7,1.8,1.0
57,,shorshe ilish,shorshe ilish|shorshe-ilish|shorsheilish,fish,200.0,141.2,22.8,46.7,3.4,12.8,162.4,11.5,1.0
58,,fried hilsha,fried hilsha|fried-hilsha|friedhilsha,fish,150.0,237.6,17.2,55.2,3.8,4.0,420.9,6.4,1.0
59,,rui fish curry,rui fish curry|rui-fish-curry|ruifishcurry,fish,150.0,265.0,28.6,53.7,17.3,21.6,456.8,10.0,1.0
60,,katla curry,katla curry|katla-curry|katlacurry,fish,150.0,233.6,5.6,52.0,12.9,22.6,756.7,3.3,1.0
61,,pangash curry,pangash curry|pangash-curry|pangashcurry,fish,250.0,249.5,19.2,17.9,2.6,8.6,248.2,3.8,1.0
62,,tilapia fry,tilapia fry|tilapia-fry|tilapiafry,fish,150.0,156.9,5.4,24.2,4.7,6.4,376.3,4.0,1.0
63,,shrimp curry,shrimp curry|shrimp-curry|shrimpcurry,fish,120.0,227.3,7.0,26.4,25.4,17.5,627.5,10.3,1.0
64,,chingri malai curry,chingri malai curry|chingri-malai-curry|chingrimalaicurry,fish,250.0,260.9,14.8,56.7,8.7,11.7,803.0,10.0,1.0
65,,shutki bhuna,shutki bhuna|shutki-bhuna|shutkibhuna,fish,150.0,297.0,16.8,37.0,6.6,6.6,395.1,0.3,1.0
66,,boal fish curry,boal fish curry|boal-fish-curry|boalfishcurry,fish,100.0,280.5,24.1,44.0,23.6,27.6,882.7,6.4,1.0
67,,koi fish curry,koi fish curry|koi-fish-curry|koifishcurry,fish,120.0,264.3,20.2,6.9,12.3,26.0,167.6,3.1,1.0
68,,pabda fish,pabda fish|pabda-fish|pabdafish,fish,100.0,184.4,10.5,46.2,10.9,22.6,749.6,3.0,1.0
69,,tuna curry,tuna curry|tuna-curry|tunacurry,fish,50.0,238.8,22.7,5.0,26.7,6.7,66.4,11.5,1.0
70,,salmon fry,salmon fry|salmon-fry|salmonfry,fish,50.0,298.4,28.5,13.6,1.1,4.6,118.0,8.0,1.0
71,,fried fish,fried fish|fried-fish|friedfish,fish,150.0,339.0,14.5,16.9,10.6,18.2,867.5,8.6,1.0
72,,fish cutlet,fish cutlet|fish-cutlet|fishcutlet,fish,250.0,312.1,29.0,8.3,1.2,9.4,611.2,11.5,1.0
73,,fish kebab,fish kebab|fish-kebab|fishkebab,fish,120.0,337.7,6.8,36.3,23.3,7.3,629.0,3.6,1.0
74,,dry fish curry,dry fish curry|dry-fish-curry|dryfishcurry,fish,200.0,266.1,4.5,59.1,22.0,10.4,388.4,4.4,1.0
75,,grilled fish,grilled fish|grilled-fish|grilledfish,fish,150.0,276.0,1.4,26.4,14.0,13.0,329.2,10.7,1.0
76,গরুর মাংস,beef curry,beef curry|beef|beff curry|gorur mangsho|গরুর মাংস,meat,120,371.0,13.6,44.6,27.1,8.1,728.3,6.5,1.0
77,,beef bhuna,beef bhuna|beef-bhuna|beefbhuna,meat,120.0,305.5,24.9,36.4,9.4,7.4,841.5,3.3,1.0
78,,kala bhuna,kala bhuna|kala-bhuna|kalabhuna,meat,120.0,245.8,14.5,37.4,10.9,0.9,766.6,2.2,1.0
79,,beef rezala,beef rezala|beef-rezala|beefrezala,meat,80.0,275.8,8.5,18.2,16.9,26.4,502.4,6.2,1.0
80,মুরগির মাংস,chicken curry,chicken|chicken curry|chicken-curry|chickencurry|murgir mangsho|মুরগির মাংস,meat,80.0,203.1,21.9,30.3,21.3,20.7,583.1,5.9,1.0
81,,chicken roast,chicken roast|chicken-roast|chickenroast,meat,250.0,184.7,9.5,25.5,7.2,19.9,335.3,6.6,1.0
82,,chicken rezala,chicken rezala|chicken-rezala|chickenrezala,meat,100.0,294.9,22.6,21.2,19.8,8.1,230.0,1.4,1.0
83,,grilled chicken,grilled chicken|grilled-chicken|grilledchicken,meat,80.0,265.2,22.5,57.2,19.5,5.7,666.1,3.3,1.0
84,,fried chicken,fried chicken|fried-chicken|friedchicken,meat,150.0,443.7,16.2,18.4,3.3,5.8,208.6,2.2,1.0
85,,mutton curry,mutton curry|mutton-curry|muttoncurry,meat,50.0,371.2,4.7,4.6,2.0,8.8,850.0,7.7,1.0
86,,duck curry,duck curry|duck-curry|duckcurry,meat,250.0,312.5,26.3,35.3,13.4,13.2,170.0,0.6,1.0
87,,beef kebab,beef kebab|beef-kebab|beefkebab,meat,250.0,309.0,24.8,25.2,2.5,18.9,53.0,1.8,1.0
88,,chicken kebab,chicken kebab|chicken-kebab|chickenkebab,meat,150.0,436.3,3.5,16.4,15.8,12.5,538.5,7.4,1.0
89,,shami kebab,shami kebab|shami-kebab|shamikebab,meat,250.0,321.1,14.1,27.7,24.2,29.7,278.3,7.5,1.0
90,,beef steak,beef steak|beef-steak|beefsteak,meat,150.0,439.2,3.9,46.2,17.7,7.9,77.7,2.9,1.0
91,,meatball curry,meatball curry|meatball-curry|meatballcurry,meat,150.0,200.3,1.1,28.1,16.8,8.7,212.2,8.5,1.0
92,,beef tehari,beef tehari|beef-tehari|beeftehari,meat,200.0,412.1,3.1,15.5,7.8,23.7,532.9,9.6,1.0
93,,mutton biryani,mutton biryani|mutton-biryani|muttonbiryani,meat,80.0,294.8,16.8,39.6,25.5,24.8,68.9,2.0,1.0
94,,chicken biryani,chicken biryani|chicken-biryani|chickenbiryani,meat,100.0,340.7,24.9,55.4,12.6,14.1,277.2,4.8,1.0
95,,bbq chicken,bbq chicken|bbq-chicken|bbqchicken,meat,100.0,315.1,15.3,6.7,1.6,13.0,293.5,3.0,1.0
96,ফুচকা,fuchka,fuchka|phuchka|fuchkaa|ফুচকা,street_food,50,234.9,20.6,51.9,16.6,0.6,689.5,9.9,1.0
97,,chotpoti,chotpoti,street_food,150.0,189.7,22.9,29.3,18.4,27.5,167.4,7.0,1.0
98,,jhalmuri,jhalmuri,street_food,200.0,375.4,29.1,29.3,11.7,9.6,98.6,1.9,1.0
99,,shingara,shingara,street_food,120.0,346.5,9.4,56.8,22.9,16.5,412.1,3.8,1.0
100,,samosa,samosa,street_food,100.0,207.8,23.4,52.2,23.2,0.0,783.1,5.5,1.0
101,,piaju,piaju,street_food,50.0,225.0,11.5,45.9,17.7,22.8,187.2,6.6,1.0
102,,beguni,beguni,street_food,100.0,285.1,21.2,9.0,27.3,18.3,219.2,1.9,1.0
103,,bun kabab,bun kabab|bun-kabab|bunkabab,street_food,150.0,183.3,12.8,15.0,23.6,3.4,852.6,7.8,1.0
104,,chicken roll,chicken roll|chicken-roll|chickenroll,street_food,80.0,299.6,21.8,31.5,8.0,25.0,882.3,2.9,1.0
105,,beef roll,beef roll|beef-roll|beefroll,street_food,150.0,214.7,6.5,36.8,21.0,4.1,67.5,9.3,1.0
106,,egg roll,egg roll|egg-roll|eggroll,street_food,250.0,279.6,28.1,31.4,23.1,8.5,272.2,7.0,1.0
107,,falafel,falafel,street_food,200.0,297.5,5.3,33.2,10.0,16.6,491.4,5.5,1.0
108,,kachori,kachori,street_food,100.0,388.7,29.4,15.9,11.0,25.7,372.6,3.8,1.0
109,,aloo chop,aloo chop|aloo-chop|aloochop,street_food,120.0,349.3,24.5,24.4,18.8,24.6,882.8,5.9,1.0
110,,vegetable chop,vegetable chop|vegetable-chop|vegetablechop,street_food,50.0,210.3,29.0,21.3,3.3,25.4,94.2,10.9,1.0
111,,pakora,pakora,street_food,50.0,353.4,12.9,40.0,4.7,14.1,872.4,4.1,1.0
112,,chicken burger,chicken burger|chicken-burger|chickenburger,street_food,200.0,275.4,3.3,21.1,19.0,16.0,859.0,7.5,1.0
113,,beef burger,beef burger|beef-burger|beefburger,street_food,250.0,297.1,16.7,37.8,7.0,20.5,262.2,2.7,1.0
114,,pizza slice,pizza slice|pizza-slice|pizzaslice,street_food,50.0,284.2,3.9,38.8,24.5,13.3,626.1,10.8,1.0
115,,hot dog,hot dog|hot-dog|hotdog,street_food,50.0,257.8,2.6,22.8,12.3,7.3,373.8,8.2,1.0
116,,chanachur,chanachur,snack,80.0,164.2,3.3,52.5,17.5,7.2,822.0,1.7,1.0
117,,potato chips,potato chips|potato-chips|potatochips,snack,120.0,285.9,14.3,40.7,25.2,14.0,262.4,6.6,1.0
118,,nachos,nachos,snack,50.0,234.8,11.0,36.1,18.1,12.7,228.8,10.1,1.0
119,,toast biscuit,toast biscuit|toast-biscuit|toastbiscuit,snack,80.0,379.8,25.7,8.2,11.0,10.8,269.8,8.4,1.0
120,,cream biscuit,cream biscuit|cream-biscuit|creambiscuit,snack,50.0,374.3,20.1,17.9,16.1,20.6,671.5,0.6,1.0
121,,cracker,cracker,snack,150.0,313.7,25.2,54.4,21.8,6.9,722.7,2.6,1.0
122,,salted peanuts,salted peanuts|salted-peanuts|saltedpeanuts,snack,80.0,281.4,20.7,43.8,18.6,25.2,567.3,10.8,1.0
123,,cashew nuts,cashew nuts|cashew-nuts|cashewnuts,snack,200.0,130.2,23.9,3.9,10.5,3.9,819.1,3.9,1.0
124,,almonds,almonds,snack,120.0,165.7,4.8,33.3,27.2,15.9,822.6,10.0,1.0
125,,popcorn,popcorn,snack,100.0,357.7,28.4,58.1,8.6,26.1,724.8,5.6,1.0
126,,energy bar,energy bar|energy-bar|energybar,snack,50.0,156.6,29.0,51.9,20.4,29.4,870.7,9.7,1.0
127,,protein bar,protein bar|protein-bar|proteinbar,snack,100.0,143.5,12.4,17.3,3.9,11.1,675.4,3.1,1.0
128,,banana chips,banana chips|banana-chips|bananachips,snack,120.0,333.8,28.3,8.3,6.9,0.8,796.4,6.7,1.0
129,,fried peanuts,fried peanuts|fried-peanuts|friedpeanuts,snack,150.0,177.6,2.8,49.8,25.5,9.1,370.4,1.7,1.0
130,,cookies,cookies,snack,50.0,199.1,15.3,7.6,24.9,4.1,411.0,8.0,1.0
131,,cupcake,cupcake,snack,200.0,301.1,16.7,36.1,20.5,26.6,591.2,10.0,1.0
132,,muffin,muffin,snack,150.0,226.1,28.6,3.9,10.7,13.3,855.7,10.3,1.0
133,,donut,donut,snack,50.0,375.0,11.7,54.3,18.2,1.8,251.9,11.6,1.0
134,,brownie,brownie,snack,250.0,334.3,3.7,14.3,18.1,29.1,50.3,4.0,1.0
135,,wafer biscuit,wafer biscuit|wafer-biscuit|waferbiscuit,snack,80.0,324.6,7.0,50.1,15.7,17.6,732.7,2.8,1.0
136,জিলাপি,jilapi,jalebi|jilapi|জিলাপি,dessert,250.0,219.8,27.1,2.2,24.1,4.3,121.3,3.0,1.0
137,,roshogolla,roshogolla,dessert,80.0,209.7,26.1,9.6,10.4,23.7,532.0,0.2,1.0
138,,mishti doi,mishti doi|mishti-doi|mishtidoi,dessert,100.0,194.1,22.5,32.5,21.0,14.3,701.3,6.2,1.0
139,,laddu,laddu,dessert,50.0,302.0,7.4,37.7,20.5,27.3,594.7,3.6,1.0
140,,kalojam,kalojam,dessert,200.0,440.3,2.8,29.8,11.5,20.6,443.8,10.9,1.0
141,,chomchom,chomchom,dessert,50.0,422.8,10.3,10.6,4.0,18.7,528.9,8.5,1.0
142,,payesh,payesh,dessert,120.0,448.5,16.4,28.3,17.1,3.0,633.1,10.2,1.0
143,,firni,firni,dessert,200.0,417.0,17.0,52.2,12.3,26.6,375.4,9.9,1.0
144,,gulab jamun,gulab jamun|gulab-jamun|gulabjamun,dessert,120.0,292.3,3.8,26.8,18.8,11.2,141.6,11.1,1.0
145,,ice cream,ice cream|ice-cream|icecream,dessert,50.0,204.6,3.5,27.0,21.0,11.2,121.5,0.7,1.0
146,,custard,custard,dessert,150.0,331.7,20.4,25.8,24.5,28.2,383.5,11.0,1.0
147,,rice pudding,rice pudding|rice-pudding|ricepudding,dessert,50.0,441.5,18.4,22.4,16.4,6.4,592.8,2.7,1.0
148,,cheesecake,cheesecake,dessert,50.0,274.5,17.1,8.7,8.2,6.8,389.1,6.7,1.0
149,,pudding,pudding,dessert,250.0,401.0,18.8,39.3,1.2,27.9,747.4,3.2,1.0
150,,sandesh,sandesh,dessert,80.0,253.8,23.1,55.4,10.2,5.4,133.2,7.9,1.0
151,,baklava,baklava,dessert,50.0,218.3,19.4,3.8,21.0,6.5,380.8,4.1,0.0
152,,halwa,halwa,dessert,100.0,264.1,10.4,56.6,16.9,26.5,144.2,9.1,0.0
153,,carrot halwa,carrot halwa|carrot-halwa|carrothalwa,dessert,50.0,362.0,8.9,40.4,13.9,13.3,249.5,9.1,0.0
154,,sweet yogurt,sweet yogurt|sweet-yogurt|sweetyogurt,dessert,50.0,273.2,4.2,41.3,16.8,15.8,281.0,2.6,0.0
155,,faluda,faluda,dessert,150.0,194.8,6.9,56.8,21.6,22.9,264.1,1.4,0.0
156,দুধ চা,milk tea,cha|dudh cha|milk tea|milk-tea|milktea|tea|চা|দুধ চা,drink,120.0,214.2,6.1,24.1,19.9,15.0,750.9,9.7,0.0
157,,black tea,black tea|black-tea|blacktea,drink,50.0,123.2,22.5,27.3,13.1,2.3,285.2,5.2,0.0
158,,coffee,coffee,drink,120.0,204.5,13.1,8.7,1.1,9.7,722.2,7.4,0.0
159,,cold coffee,cold coffee|cold-coffee|coldcoffee,drink,250.0,199.3,11.5,27.3,3.4,13.1,363.4,0.9,0.0
160,,lassi,lassi,drink,250.0,100.7,10.8,21.3,5.1,15.3,107.1,6.1,0.0
161,,borhani,borhani,drink,250.0,110.8,22.1,49.5,22.9,7.1,136.1,2.4,0.0
162,,soft drink,soft drink|soft-drink|softdrink,drink,150.0,59.7,23.0,6.4,26.7,18.8,420.2,6.8,0.0
163,,energy drink,energy drink|energy-drink|energydrink,drink,150.0,136.7,27.8,34.7,18.0,18.7,778.5,7.5,0.0
164,,mango juice,mango juice|mango-juice|mangojuice,drink,80.0,134.3,14.6,38.6,22.4,17.7,320.0,0.9,0.0
165,,orange juice,orange juice|orange-juice|orangejuice,drink,120.0,137.5,2.6,50.2,2.6,25.9,770.5,7.4,0.0
166,,apple juice,apple juice|apple-juice|applejuice,drink,150.0,120.0,17.8,57.3,20.8,1.2,818.6,6.9,0.0
167,,lemon juice,lemon juice|lemon-juice|lemonjuice,drink,80.0,103.6,14.8,10.7,2.2,3.1,809.7,4.1,0.0
168,,coconut water,coconut water|coconut-water|coconutwater,drink,200.0,41.9,19.7,4.3,20.0,29.7,474.0,7.3,0.0
169,,milkshake,milkshake,drink,100.0,116.9,9.2,25.7,9.8,17.9,711.4,7.8,0.0
170,,smoothie,smoothie,drink,50.0,105.7,17.2,24.4,7.4,25.5,868.1,7.2,0.0
171,,green tea,green tea|green-tea|greentea,drink,80.0,106.7,17.9,10.2,10.1,29.0,630.1,4.7,0.0
172,,hot chocolate,hot chocolate|hot-chocolate|hotchocolate,drink,150.0,204.3,3.5,34.4,18.2,9.9,119.4,8.4,0.0
173,,sugarcane juice,sugarcane juice|sugarcane-juice|sugarcanejuice,drink,200.0,279.3,27.5,7.4,18.9,15.3,21.3,3.7,0.0
174,,faluda drink,faluda drink|faluda-drink|faludadrink,drink,80.0,108.9,23.2,13.1,28.0,4.6,269.7,9.5,0.0
175,,yogurt drink,yogurt drink|yogurt-drink|yogurtdrink,drink,150.0,220.4,25.2,53.3,1.5,10.1,690.8,1.6,0.0
176,কলা,banana,banana|kola|কলা,fruit,120.0,55.4,6.2,42.2,17.7,27.1,650.5,0.5,0.0
177,,mango,mango,fruit,100.0,107.6,7.9,27.8,8.3,22.5,406.8,6.4,0.0
178,,guava,guava,fruit,100.0,136.6,23.7,54.4,5.8,20.3,515.5,5.3,0.0
179,,papaya,papaya,fruit,250.0,68.2,12.1,32.6,27.1,24.5,722.1,1.7,0.0
180,,apple,apple,fruit,100.0,45.2,14.9,23.5,26.2,21.3,466.7,1.5,0.0
181,,orange,orange,fruit,50.0,116.3,8.9,54.5,4.6,13.1,852.0,2.7,0.0
182,,jackfruit,jackfruit,fruit,120.0,128.5,28.0,26.1,11.4,11.2,350.6,1.0,0.0
183,,watermelon,watermelon,fruit,80.0,42.8,28.0,50.7,18.4,23.7,128.2,3.4,0.0
184,,litchi,litchi,fruit,250.0,87.2,25.1,46.0,13.4,18.5,815.7,0.2,0.0
185,,pineapple,pineapple,fruit,80.0,123.5,16.9,44.2,15.0,3.3,262.9,3.6,0.0
186,,dragon fruit,dragon fruit|dragon-fruit|dragonfruit,fruit,50.0,63.8,19.5,38.1,2.2,25.1,452.3,6.4,0.0
187,,grapes,grapes,fruit,200.0,91.5,8.0,10.3,12.3,18.4,220.3,5.0,0.0
188,,pear,pear,fruit,200.0,106.8,16.2,22.9,26.7,16.3,708.8,6.1,0.0
189,,peach,peach,fruit,50.0,79.0,14.6,38.9,27.5,7.6,19.5,9.5,0.0
190,,plum,plum,fruit,100.0,64.1,20.1,8.0,16.5,22.7,124.4,4.2,0.0
191,,coconut,coconut,fruit,100.0,121.4,6.1,47.2,13.3,20.9,570.4,9.7,0.0
192,,avocado,avocado,fruit,50.0,111.6,28.4,4.1,6.0,23.7,797.8,3.8,0.0
193,,strawberry,strawberry,fruit,100.0,91.5,29.7,33.5,7.5,22.6,176.0,4.3,0.0
194,,blueberry,blueberry,fruit,250.0,44.8,20.0,17.8,22.5,13.1,363.0,5.3,0.0
195,,dates,dates,fruit,120.0,73.9,6.4,42.1,10.6,23.9,243.7,1.0,0.0
196,,potato,potato,vegetable,120.0,27.9,18.5,49.7,15.5,9.6,76.7,7.9,0.0
197,,brinjal,brinjal,vegetable,100.0,64.6,21.8,11.7,12.7,13.4,655.5,10.9,0.0
198,,spinach,spinach,vegetable,150.0,119.8,9.0,58.8,26.6,2.3,575.6,4.4,0.0
199,,okra,okra,vegetable,250.0,95.0,5.6,3.8,23.8,20.3,397.2,1.5,0.0
200,,cauliflower,cauliflower,vegetable,80.0,97.9,11.6,24.2,16.1,18.2,612.8,11.4,0.0
201,,cabbage,cabbage,vegetable,100.0,64.4,3.2,10.0,10.6,9.4,254.4,11.5,0.0
202,,pumpkin,pumpkin,vegetable,50.0,93.6,15.5,24.4,15.9,7.9,238.0,5.4,0.0
203,,bottle gourd,bottle gourd|bottle-gourd|bottlegourd,vegetable,150.0,48.6,27.6,30.5,3.9,25.6,409.6,10.8,0.0
204,,radish,radish,vegetable,120.0,119.7,24.5,58.1,27.6,20.0,640.0,6.6,0.0
205,,carrot,carrot,vegetable,100.0,109.1,25.7,43.3,26.0,19.1,715.4,6.1,0.0
206,,beetroot,beetroot,vegetable,50.0,118.5,24.0,15.7,14.1,10.8,517.2,5.6,0.0
207,,tomato,tomato,vegetable,150.0,33.0,26.6,5.8,11.4,21.5,433.4,4.9,0.0
208,,cucumber,cucumber,vegetable,120.0,102.3,3.1,58.4,18.2,13.5,613.7,4.1,0.0
209,,capsicum,capsicum,vegetable,250.0,98.0,19.6,12.6,27.1,13.0,820.1,0.7,0.0
210,,green beans,green beans|green-beans|greenbeans,vegetable,50.0,71.8,9.8,11.4,26.2,6.8,853.0,6.2,0.0
211,,peas,peas,vegetable,100.0,104.6,8.3,38.8,15.6,3.8,276.0,6.4,0.0
212,,broccoli,broccoli,vegetable,150.0,84.1,18.2,35.7,5.2,18.7,812.3,4.1,0.0
213,,lettuce,lettuce,vegetable,150.0,24.1,26.0,6.7,26.6,23.1,241.9,2.5,0.0
214,,onion,onion,vegetable,150.0,61.7,19.5,30.9,17.7,8.7,861.2,5.8,0.0
215,,garlic,garlic,vegetable,250.0,100.7,12.8,28.3,19.4,4.7,377.0,5.6,0.0
216,,fried chicken burger,fried chicken burger|fried-chicken-burger|friedchickenburger,fast_food,100.0,462.3,10.1,43.7,20.7,25.8,878.0,1.6,0.0
217,,double beef burger,double beef burger|double-beef-burger|doublebeefburger,fast_food,100.0,430.2,4.1,16.0,3.9,13.5,131.1,0.6,0.0
218,,cheese pizza,cheese pizza|cheese-pizza|cheesepizza,fast_food,120.0,552.5,13.1,57.8,25.3,24.4,840.7,8.7,0.0
219,,pepperoni pizza,pepperoni pizza|pepperoni-pizza|pepperonipizza,fast_food,80.0,517.1,15.4,31.9,14.2,9.3,25.7,11.3,0.0
220,,french fries,french fries|french-fries|frenchfries,fast_food,150.0,410.0,8.0,35.8,1.8,8.4,539.8,10.1,0.0
221,,fried wings,fried wings|fried-wings|friedwings,fast_food,200.0,414.7,16.6,51.1,12.4,26.5,656.1,9.2,0.0
222,,club sandwich,club sandwich|club-sandwich|clubsandwich,fast_food,100.0,265.8,2.5,34.6,10.5,8.7,350.8,5.4,0.0
223,,sub sandwich,sub sandwich|sub-sandwich|subsandwich,fast_food,150.0,347.9,29.7,41.5,3.8,29.3,357.5,9.5,0.0
